index,X,Y,SPORTS_CENTRE,FACILITIES,POSTAL_CODE,INFORMATION_LINK
0,103.8515061,1.354620891,Bishan Sports Centre,Swimming Complex/Sports Hall/Stadium/Gym,579783,https://www.myactivesg.com/facilities/sport-centres
1,103.7481529,1.344513205,Bukit Batok Swimming Complex,Swimming Complex,659581,https://www.myactivesg.com/facilities/sport-centres
2,103.938391,1.326154163,Bedok Sports Centre,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym,469643,https://www.myactivesg.com/facilities/sport-centres
3,103.7485685,1.391095552,Choa Chu Kang Sports Centre,Swimming Complex/Sports Hall/Stadium/Futsal Court/Tennis Centre/Gym,689236,https://www.myactivesg.com/facilities/sport-centres
4,103.7193976,1.332812577,Jurong Stadium,Stadium,619707,https://www.myactivesg.com/facilities/sport-centres
5,103.7628328,1.309698187,Clementi Stadium,Stadium,127156,https://www.myactivesg.com/facilities/sport-centres
6,103.6943079,1.338545957,Jurong West Sports Centre,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym,648965,https://www.myactivesg.com/facilities/sport-centres
7,103.8724047,1.322710543,Kallang Basin Swimming Complex,Swimming Complex,339628,https://www.myactivesg.com/facilities/sport-centres
8,103.8860615,1.302007596,Katong Swimming Complex,Swimming Complex,436752,https://www.myactivesg.com/facilities/sport-centres
9,103.9518805,1.374281782,Pasir Ris Sports Centre,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym,519640,https://www.myactivesg.com/facilities/sport-centres
10,103.886691,1.39604192,Sengkang Sports Centre,Swimming Complex/Sports Hall/Gym/Hockey Pitch,544964,https://www.myactivesg.com/facilities/sport-centres
11,103.9395513,1.354927294,Tampines Sports Centre,Swimming Complex/Gym,529652,https://www.myactivesg.com/facilities/sport-centres
12,103.7801961,1.43479121,Woodlands Sports Centre,Swimming Complex/Sports Hall/Stadium/Gym,738620,https://www.myactivesg.com/facilities/sport-centres
13,103.8615357,1.325444061,St Wilfrid Sports Centre,Field/Tennis Centre,327920,https://www.myactivesg.com/facilities/sport-centres
14,103.8319586,1.412099031,Yishun Sports Centre,Sports Hall/Stadium/Gym,769130,https://www.myactivesg.com/facilities/sport-centres
15,103.8340557,1.423592817,Yishun Swimming Complex,Swimming Complex,769057,https://www.myactivesg.com/facilities/sport-centres
16,103.8193433,1.319221996,Co Curricular Activities Branch,Sports Hall/Stadium/Swimming Complex/Tennis Centre/Squash Centre/Hockey Pitch,259366,https://www.myactivesg.com/facilities/sport-centres
17,103.8601508,1.310062253,Jalan Besar Sports Centre,Swimming Complex/Stadium,207542,https://www.myactivesg.com/facilities/sport-centres
18,103.8147876,1.286935307,Enabling Village Gym,Gym,159053,https://www.myactivesg.com/facilities/sport-centres
19,103.8880523,1.320926292,Geylang East Swimming Complex,Swimming Complex,389862,https://www.myactivesg.com/facilities/sport-centres
20,103.8780188,1.310258413,Geylang Field,Field,399005,https://www.myactivesg.com/facilities/sport-centres
21,103.849451,1.310941078,Farrer Park Field and Tennis Centre,Field/Tennis Centre,218254,https://www.myactivesg.com/facilities/sport-centres
22,103.84957,1.363137367,Ang Mo Kio Swimming Complex,Swimming Complex,569978,https://www.myactivesg.com/facilities/sport-centres
23,103.7530336,1.358626993,Bukit Gombak Sports Centre,Sports Hall/Stadium/Gym,659088,https://www.myactivesg.com/facilities/sport-centres
24,103.8606277,1.359324709,Burghley Squash and Tennis Centre,Squash Centre/Tennis Centre,559020,https://www.myactivesg.com/facilities/sport-centres
25,103.8869612,1.36971543,Hougang Sports Centre,Swimming Complex/Sports Hall/Stadium/Gym,538832,https://www.myactivesg.com/facilities/sport-centres
26,103.7657628,1.310505028,Clementi Sports Centre,Swimming Complex/Sports Hall/Gym,129907,https://www.myactivesg.com/facilities/sport-centres
27,103.8787546,1.305663701,Kallang Sports Centre,Practice Track/Field/Tennis Centre/Squash Centre/Netball Centre/Lawn Bowl,397724,https://www.myactivesg.com/facilities/sport-centres
28,103.9402495,1.353092888,Our Tampines Hub - Community Auditorium,Sports Hall,529684,https://www.myactivesg.com/facilities/sport-centres
29,103.8025532,1.29617744,Queenstown Sports Centre,Swimming Complex/Stadium,148948,https://www.myactivesg.com/facilities/sport-centres
30,103.8749195,1.356412994,Serangoon Sports Centre,Swimming Complex/ Stadium,545552,https://www.myactivesg.com/facilities/sport-centres
31,103.8517468,1.330137705,Toa Payoh Sports Centre,Swimming Complex/Sports Hall/Stadium/Gym,319389,https://www.myactivesg.com/facilities/sport-centres
32,103.8466212,1.382569954,Yio Chu Kang Sports Centre,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Squash Centre/Gym,569770,https://www.myactivesg.com/facilities/sport-centres
33,103.8206108,1.289929147,Delta Sports Centre,Swimming Complex/Sports Hall/Gym/Hockey Pitch,158790,https://www.myactivesg.com/facilities/sport-centres
34,103.7293851,1.346807109,Jurong East Sports Centre,Swimming Complex/Sports Hall/Stadium/Gym/Gateball & Petanque Courts,609517,https://www.myactivesg.com/facilities/sport-centres
